电视公告,#genre#
CCTV4,http://106.53.99.30/iptv.php?id=1
CCTV13,http://106.53.99.30/iptv.php?id=2
TVB1,http://106.53.99.30/iptv.php?id=3
TVB星河,http://106.53.99.30/iptv.php?id=4
东森LIVE,http://106.53.99.30/iptv.php?id=5
TVB武频道,http://106.53.99.30/iptv.php?id=6
GOODTV好消息,http://106.53.99.30/iptv.php?id=7
SET三立都会台,http://106.53.99.30/iptv.php?id=8
EBC东森超视,http://106.53.99.30/iptv.php?id=9
公视台语台,http://106.53.99.30/iptv.php?id=10
DISCOVERY亚洲,http://106.53.99.30/iptv.php?id=11
JET综合,http://106.53.99.30/iptv.php?id=12
CTI中天亚洲台,http://106.53.99.30/iptv.php?id=13
民视第一台,http://106.53.99.30/iptv.php?id=14
民视台湾台,http://106.53.99.30/iptv.php?id=15
CN卡通频道,http://106.53.99.30/iptv.php?id=16
靖洋卡通台,http://106.53.99.30/iptv.php?id=17
靖天卡通台,http://106.53.99.30/iptv.php?id=18
EVE,http://106.53.99.30/iptv.php?id=19
DMAX,http://106.53.99.30/iptv.php?id=20
靖天欢乐台,http://106.53.99.30/iptv.php?id=21
靖天国际台,http://106.53.99.30/iptv.php?id=22
靖天育乐台,http://106.53.99.30/iptv.php?id=23
靖天日本台,http://106.53.99.30/iptv.php?id=24
SET三立综合台,http://106.53.99.30/iptv.php?id=25
靖天资讯台,http://106.53.99.30/iptv.php?id=26
靖天综合台,http://106.53.99.30/iptv.php?id=27
中视青采,http://106.53.99.30/iptv.php?id=28
华视新闻台,http://106.53.99.30/iptv.php?id=29
台视新闻,http://106.53.99.30/iptv.php?id=30
中视新闻,http://106.53.99.30/iptv.php?id=31
台视财经,http://106.53.99.30/iptv.php?id=32
三立国际台,http://106.53.99.30/iptv.php?id=33
HBO,http://106.53.99.30/iptv.php?id=34
好莱坞电影,http://106.53.99.30/iptv.php?id=35
CINEMAX,http://106.53.99.30/iptv.php?id=36
靖天映画,http://106.53.99.30/iptv.php?id=37
纬来精彩,http://106.53.99.30/iptv.php?id=38
靖天电影台,http://106.53.99.30/iptv.php?id=39
AXN,http://106.53.99.30/iptv.php?id=40
公视戏剧,http://106.53.99.30/iptv.php?id=41
AXN,http://106.53.99.30/iptv.php?id=42
靖天戏剧台,http://106.53.99.30/iptv.php?id=43
翡翠台,http://106.53.99.30/iptv.php?id=44
TVB,http://106.53.99.30/iptv.php?id=45
TVB,http://106.53.99.30/iptv.php?id=46
TVB,http://106.53.99.30/iptv.php?id=47
TVB,http://106.53.99.30/iptv.php?id=48
TVB明珠台,http://106.53.99.30/iptv.php?id=49
TVB明珠台,http://106.53.99.30/iptv.php?id=50
凤凰资讯,http://106.53.99.30/iptv.php?id=51
凤凰中文,http://106.53.99.30/iptv.php?id=52
凤凰香港,http://106.53.99.30/iptv.php?id=53
凤凰资讯,http://106.53.99.30/iptv.php?id=54
凤凰中文,http://106.53.99.30/iptv.php?id=55
国兴卫视,http://106.53.99.30/iptv.php?id=56
HBOHITS,http://106.53.99.30/iptv.php?id=57
HBOFAMILY,http://106.53.99.30/iptv.php?id=58
HBO,http://106.53.99.30/iptv.php?id=59
DISCOVERY亚洲,http://106.53.99.30/iptv.php?id=60
龙祥时代,http://106.53.99.30/iptv.php?id=61
台视,http://106.53.99.30/iptv.php?id=62
中视新闻,http://106.53.99.30/iptv.php?id=63
公视,http://106.53.99.30/iptv.php?id=64
华视,http://106.53.99.30/iptv.php?id=65
民视,http://106.53.99.30/iptv.php?id=66
东森综合,http://106.53.99.30/iptv.php?id=67
DAZN1,http://106.53.99.30/iptv.php?id=68
DAZN2,http://106.53.99.30/iptv.php?id=69
TVB星河,http://106.53.99.30/iptv.php?id=70
东森戏剧,http://106.53.99.30/iptv.php?id=71
东森电影,http://106.53.99.30/iptv.php?id=72
中天娱乐,http://106.53.99.30/iptv.php?id=73
东森洋片,http://106.53.99.30/iptv.php?id=74
湖北卫视,http://106.53.99.30/iptv.php?id=75
莲花卫视,http://106.53.99.30/iptv.php?id=76
青田电视台,http://106.53.99.30/iptv.php?id=77
ASTRO,http://106.53.99.30/iptv.php?id=78
美亚电影台,http://106.53.99.30/iptv.php?id=79
开电视,http://106.53.99.30/iptv.php?id=80
广东珠江,http://106.53.99.30/iptv.php?id=81
MYTVSUPER1,http://106.53.99.30/iptv.php?id=82
MYTVSUPER2,http://106.53.99.30/iptv.php?id=83
TITV,http://106.53.99.30/iptv.php?id=84
HAKKATV,http://106.53.99.30/iptv.php?id=85
壹综合NEXTTV,http://106.53.99.30/iptv.php?id=86
LTV龙华日韩,http://106.53.99.30/iptv.php?id=87
旅游,http://106.53.99.30/iptv.php?id=88
综艺,http://106.53.99.30/iptv.php?id=89
YOYO台,http://106.53.99.30/iptv.php?id=90
BABYLV,http://106.53.99.30/iptv.php?id=91
美食星球,http://106.53.99.30/iptv.php?id=92
ELTA体育1台,http://106.53.99.30/iptv.php?id=93
ELTA体育1台,http://106.53.99.30/iptv.php?id=94
寰宇新闻台,http://106.53.99.30/iptv.php?id=95
镜新闻,http://106.53.99.30/iptv.php?id=96
EYETV旅游,http://106.53.99.30/iptv.php?id=97
DW,http://106.53.99.30/iptv.php?id=98
壹电影NEXTTV,http://106.53.99.30/iptv.php?id=99
ELTA影剧,http://106.53.99.30/iptv.php?id=100
靖洋戏剧台,http://106.53.99.30/iptv.php?id=101
EYETV戏剧,http://106.53.99.30/iptv.php?id=102
288,http://106.53.99.30/iptv.php?id=103
龙华戏剧,http://106.53.99.30/iptv.php?id=104
龙华经典,http://106.53.99.30/iptv.php?id=105
LS时代,http://106.53.99.30/iptv.php?id=106
龙华电影,http://106.53.99.30/iptv.php?id=107
WBTV,http://106.53.99.30/iptv.php?id=108
CNA,http://106.53.99.30/iptv.php?id=109
ASTRO,http://106.53.99.30/iptv.php?id=110
天映频道,http://106.53.99.30/iptv.php?id=111
新闻频道,http://106.53.99.30/iptv.php?id=112
KIX,http://106.53.99.30/iptv.php?id=113
ASTRO,http://106.53.99.30/iptv.php?id=114
ASTROAWANI,http://106.53.99.30/iptv.php?id=115
MSURIA,http://106.53.99.30/iptv.php?id=116
TV1,http://106.53.99.30/iptv.php?id=117
TV2,http://106.53.99.30/iptv.php?id=118
9,http://106.53.99.30/iptv.php?id=119
8TV,http://106.53.99.30/iptv.php?id=120
VIUTV,http://106.53.99.30/iptv.php?id=332
938,http://106.53.99.30/iptv.php?id=333
VIUTV6,http://106.53.99.30/iptv.php?id=334
VIUTV6,http://106.53.99.30/iptv.php?id=335
广东珠江,http://106.53.99.30/iptv.php?id=336
951,http://106.53.99.30/iptv.php?id=337
954,http://106.53.99.30/iptv.php?id=338
HOY78,http://106.53.99.30/iptv.php?id=339
DW,http://106.53.99.30/iptv.php?id=340
WBTV,http://106.53.99.30/iptv.php?id=341
SCI,http://106.53.99.30/iptv.php?id=342
AKTV恢复,#genre#
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
千禧經典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
日本全天新聞,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8

四季恢复,#genre#
中天新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv009
TVBS新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv072
非凡新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv010
华视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv052
中视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv074
中视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv040
华视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv041
民视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv002
台视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv066
民视第一台,https://litv.zapi.us.kg/?id=4gtv-4gtv003
民视综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv004
民视台湾台,https://litv.zapi.us.kg/?id=4gtv-4gtv001
民视台湾台,https://litv.zapi.us.kg/?id=4gtv-4gtv156
中视菁采台,https://litv.zapi.us.kg/?id=4gtv-4gtv064
TVBS精采台,https://litv.zapi.us.kg/?id=4gtv-4gtv067
TVBS欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv068
TVBS闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv073
八大精彩台,https://litv.zapi.us.kg/?id=4gtv-4gtv034
爱尔达娱乐,https://litv.zapi.us.kg/?id=4gtv-4gtv070
台湾戏剧台,https://litv.zapi.us.kg/?id=litv-longturn22
靖洋卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv057
靖天戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天资讯台,https://litv.zapi.us.kg/?id=4gtv-4gtv065
靖天映画台,https://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天综合台,https://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天日本台,https://litv.zapi.us.kg/?id=4gtv-4gtv047
靖天电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天育乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv062
靖天国际台,https://litv.zapi.us.kg/?id=4gtv-4gtv063
公视戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv042
台视财经台,https://litv.zapi.us.kg/?id=4gtv-4gtv056
非凡商业台,https://litv.zapi.us.kg/?id=4gtv-4gtv048
古典音乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv059
好消息壹台,https://litv.zapi.us.kg/?id=litv-ftv16
好消息贰台,https://litv.zapi.us.kg/?id=litv-ftv17
博斯魅力台,https://litv.zapi.us.kg/?id=litv-longturn04
博斯高球壹,https://litv.zapi.us.kg/?id=litv-longturn05
博斯高球贰,https://litv.zapi.us.kg/?id=litv-longturn06
博斯运动壹,https://litv.zapi.us.kg/?id=litv-longturn07
博斯运动贰,https://litv.zapi.us.kg/?id=litv-longturn08
博斯网球台,https://litv.zapi.us.kg/?id=litv-longturn09
博斯无限壹,https://litv.zapi.us.kg/?id=litv-longturn10
博斯无限贰,https://litv.zapi.us.kg/?id=litv-longturn13
亚洲旅游台,https://litv.zapi.us.kg/?id=litv-longturn17
达文西频道,https://litv.zapi.us.kg/?id=4gtv-4gtv018
AMC电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv017
闽镜新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv075
寰宇闽南台,https://litv.zapi.us.kg/?id=litv-longturn15
龙华卡通台,https://litv.zapi.us.kg/?id=litv-longturn01
龙华日韩台,https://litv.zapi.us.kg/?id=litv-longturn11
龙华偶像台,https://litv.zapi.us.kg/?id=litv-longturn12
龙华电影台,https://litv.zapi.us.kg/?id=litv-longturn03
龙华经典台,https://litv.zapi.us.kg/?id=litv-longturn21
龙华戏剧台,https://litv.zapi.us.kg/?id=litv-longturn18
靖洋戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv045
采昌影剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv049
客家电视台,https://litv.zapi.us.kg/?id=4gtv-4gtv043
生活英语台,https://litv.zapi.us.kg/?id=litv-longturn20
影迷數位台,https://litv.zapi.us.kg/?id=4gtv-4gtv011
華仁紀實台,https://litv.zapi.us.kg/?id=4gtv-4gtv013
CAT电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv076
TRA体育台,https://litv.zapi.us.kg/?id=4gtv-4gtv077
SMART频道,https://litv.zapi.us.kg/?id=litv-longturn19
GLOBET台,https://litv.zapi.us.kg/?id=4gtv-4gtv016
GINXTV台,https://litv.zapi.us.kg/?id=4gtv-4gtv053


4k专区,#genre#
CCTV1,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1
CCTV3,http://223.105.252.59/PLTV/4/224/3221228499/index.m3u8?servicetype=1
CCTV5,http://223.105.252.61/PLTV/4/224/3221228502/index.m3u8?servicetype=1
CCTV8,http://223.105.252.57/PLTV/3/224/3221228165/index.m3u8?servicetype=1
CCTV4K,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1
CCTV16,http://223.105.252.59/PLTV/4/224/3221228314/index.m3u8?servicetype=1
欢笑剧场,http://111.29.9.34:6610/000000001000/1/1.m3u8?stbId=1&livemode=1&IASHttpSessionId=OTT760920241110011719006907&channel-id=bestzb&Contentid=5000000007000010001
峨眉电影4K,http://60.255.240.247:8090/live/emdy4k_8000.m3u8
欢笑剧场_4K,http://60.255.240.247:8090/live/hxjc-4k_8000.m3u8

北京纪实科教,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8$官方8K
lovenature4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8


中央电视,#genre#

CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV13,http://lives.jnnews.tv/video/s10001-cctv/index.m3u8

CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$移动|回看
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8$移动|回看
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8$移动|回看
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$移动|回看
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8$移动|回看
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8$移动|回看
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8$移动|回看
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8$移动|回看
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8$移动|回看
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8$移动|回看
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8$移动|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8$移动|回看
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8$移动|回看
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8$移动|回看
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8$移动|回看
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8$移动|回看
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8$移动|回看
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8$移动|回看
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$移动高清|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8$移动高清|回看
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8$移动高清|回看
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8$移动高清|回看

CCTV1,http://183.207.248.71/PLTV/3/224/3221228213/1.m3u8$南京移动|回看
CCTV2,http://183.207.248.71/PLTV/3/224/3221228300/1.m3u8$南京移动|回看
CCTV3,http://183.207.248.71/PLTV/3/224/3221228392/1.m3u8$南京移动|回看
CCTV4,http://183.207.248.71/PLTV/3/224/3221227658/1.m3u8$南京移动|回看
CCTV5,http://183.207.248.71/PLTV/3/224/3221228395/1.m3u8$南京移动|回看
CCTV5+,http://183.207.248.71/PLTV/3/224/3221228277/1.m3u8$南京移动|回看
CCTV6,http://183.207.248.71/PLTV/3/224/3221228280/1.m3u8$南京移动|回看
CCTV7,http://183.207.248.71/PLTV/3/224/3221227314/1.m3u8$南京移动|回看
CCTV8,http://183.207.248.71/PLTV/3/224/3221228398/1.m3u8$南京移动|回看
CCTV9,http://183.207.248.71/PLTV/3/224/3221227659/1.m3u8$南京移动|回看
CCTV10,http://183.207.248.71/PLTV/3/224/3221227620/1.m3u8$南京移动|回看
CCTV11,http://183.207.248.71/PLTV/3/224/3221227720/1.m3u8$南京移动|回看
CCTV12,http://183.207.248.71/PLTV/3/224/3221227655/1.m3u8$南京移动|回看
CCTV13,http://183.207.248.71/PLTV/3/224/3221228324/1.m3u8$南京移动|回看
CCTV14,http://183.207.248.71/PLTV/3/224/3221227693/1.m3u8$南京移动|回看
CCTV15,http://183.207.248.71/PLTV/3/224/3221227723/1.m3u8$南京移动|回看
CCTV16,http://183.207.248.71/PLTV/3/224/3221228112/1.m3u8$南京移动|回看
CCTV17,http://183.207.248.71/PLTV/3/224/3221227578/1.m3u8$南京移动|回看

CCTV1,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000001$甘肃移动IPV6
CCTV2,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000502$甘肃移动IPV6
CCTV3,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000003$甘肃移动IPV6
CCTV4,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000503$甘肃移动IPV6
CCTV5,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000005$甘肃移动IPV6
CCTV5+,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000507$甘肃移动IPV6
CCTV6,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000006$甘肃移动IPV6
CCTV7,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000504$甘肃移动IPV6
CCTV8,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000008$甘肃移动IPV6
CCTV9,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000505$甘肃移动IPV6
CCTV10,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000506$甘肃移动IPV6
CCTV11,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000508$甘肃移动IPV6
CCTV12,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000509$甘肃移动IPV6
CCTV13,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000510$甘肃移动IPV6
CCTV14,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000511$甘肃移动IPV6
CCTV15,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000512$甘肃移动IPV6
CCTV16,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000016$甘肃移动IPV6
CCTV17,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000513$甘肃移动IPV6

CCTV1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8$联通酒店
CCTV2,http://111.160.17.2:59901/tsfile/live/0001_2.m3u8$联通酒店
CCTV3,http://111.160.17.2:59901/tsfile/live/0001_3.m3u8$联通酒店
CCTV4,http://111.160.17.2:59901/tsfile/live/0001_4.m3u8$联通酒店
CCTV5,http://111.160.17.2:59901/tsfile/live/0001_5.m3u8$联通酒店
CCTV5+,http://111.160.17.2:59901/tsfile/live/0001_6.m3u8$联通酒店
CCTV6,http://111.160.17.2:59901/tsfile/live/0001_7.m3u8$联通酒店
CCTV7,http://111.160.17.2:59901/tsfile/live/0001_8.m3u8$联通酒店
CCTV8,http://111.160.17.2:59901/tsfile/live/0001_9.m3u8$联通酒店
CCTV9,http://111.160.17.2:59901/tsfile/live/0001_10.m3u8$联通酒店
CCTV10,http://111.160.17.2:59901/tsfile/live/0001_11.m3u8$联通酒店
CCTV11,http://111.160.17.2:59901/tsfile/live/0001_12.m3u8$联通酒店
CCTV12,http://111.160.17.2:59901/tsfile/live/0001_13.m3u8$联通酒店
CCTV13,http://111.160.17.2:59901/tsfile/live/0001_14.m3u8$联通酒店
CCTV14,http://111.160.17.2:59901/tsfile/live/0001_15.m3u8$联通酒店
CCTV15,http://111.160.17.2:59901/tsfile/live/0001_16.m3u8$联通酒店
CCTV16,http://111.160.17.2:59901/tsfile/live/0001_17.m3u8$联通酒店
CCTV17,http://111.160.17.2:59901/tsfile/live/0001_18.m3u8$联通酒店
CGTN,http://111.160.17.2:59901/tsfile/live/0001_19.m3u8$联通酒店

CCTV1,http://60.29.124.66:6080/hls/12/index.m3u8$天津联通酒店
CCTV2,http://60.29.124.66:6080/hls/13/index.m3u8$天津联通酒店
CCTV3,http://60.29.124.66:6080/hls/14/index.m3u8$天津联通酒店
CCTV4,http://60.29.124.66:6080/hls/15/index.m3u8$天津联通酒店
CCTV5,http://60.29.124.66:6080/hls/16/index.m3u8$天津联通酒店
CCTV6,http://60.29.124.66:6080/hls/17/index.m3u8$天津联通酒店
CCTV7,http://60.29.124.66:6080/hls/18/index.m3u8$天津联通酒店
CCTV8,http://60.29.124.66:6080/hls/19/index.m3u8$天津联通酒店
CCTV9,http://60.29.124.66:6080/hls/20/index.m3u8$天津联通酒店
CCTV10,http://60.29.124.66:6080/hls/21/index.m3u8$天津联通酒店
CCTV11,http://60.29.124.66:6080/hls/22/index.m3u8$天津联通酒店
CCTV13,http://60.29.124.66:6080/hls/23/index.m3u8$天津联通酒店
CCTV14,http://60.29.124.66:6080/hls/25/index.m3u8$天津联通酒店
CCTV15,http://60.29.124.66:6080/hls/26/index.m3u8$天津联通酒店

CCTV1,http://1.197.249.194:9901/tsfile/live/0001_1.m3u8$河南电信酒店
CCTV2,http://1.197.249.194:9901/tsfile/live/0002_1.m3u8$河南电信酒店
CCTV3,http://1.197.249.194:9901/tsfile/live/0003_1.m3u8$河南电信酒店
CCTV4,http://1.197.249.194:9901/tsfile/live/0004_1.m3u8$河南电信酒店
CCTV5,http://1.197.249.194:9901/tsfile/live/0005_1.m3u8$河南电信酒店
CCTV6,http://1.197.249.194:9901/tsfile/live/0006_1.m3u8$河南电信酒店
CCTV7,http://1.197.249.194:9901/tsfile/live/0007_1.m3u8$河南电信酒店
CCTV8,http://1.197.249.194:9901/tsfile/live/0008_1.m3u8$河南电信酒店
CCTV9,http://1.197.249.194:9901/tsfile/live/0009_1.m3u8$河南电信酒店
CCTV10,http://1.197.249.194:9901/tsfile/live/0010_1.m3u8$河南电信酒店
CCTV11,http://1.197.249.194:9901/tsfile/live/0011_1.m3u8$河南电信酒店
CCTV12,http://1.197.249.194:9901/tsfile/live/0012_1.m3u8$河南电信酒店
CCTV13,http://1.197.249.194:9901/tsfile/live/0013_1.m3u8$河南电信酒店
CCTV14,http://1.197.249.194:9901/tsfile/live/0014_1.m3u8$河南电信酒店
CCTV15,http://1.197.249.194:9901/tsfile/live/0015_1.m3u8$河南电信酒店
CCTV17,http://1.197.249.194:9901/tsfile/live/0007_2.m3u8$河南电信酒店

CCTV1,http://58.20.77.182:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://58.20.77.182:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://58.20.77.182:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://58.20.77.182:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://58.20.77.182:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://58.20.77.182:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://58.20.77.182:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://58.20.77.182:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://58.20.77.182:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://58.20.77.182:9901/tsfile/live/0010_1.m3u8?key=txiptv
